Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,12/8/19 18:19,FALSE,Treadmill Running,1.09,89,0:17:49,118,144,0.5,116,124,16:19,13:11,--,--,0.85,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:53.9,2,0
Treadmill Running,11/24/19 18:16,FALSE,Treadmill Running,3.47,238,0:24:18,169,186,3.4,168,174,7:00,6:30,--,--,1.37,0,0,0,0,0,0:00,0:00,77,0:00,No,03:15.2,4,0
Treadmill Running,11/20/19 17:15,FALSE,Treadmill Running,0.04,4,00:30.5,168,173,0.1,106,129,14:16,13:57,--,--,1.07,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1,0
Treadmill Running,11/20/19 16:50,FALSE,Treadmill Running,3.26,251,0:23:56,178,193,3.7,162,170,7:20,6:32,--,--,1.35,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:19.6,4,0
Treadmill Running,11/18/19 19:26,FALSE,Treadmill Running,4.51,308,0:37:45,155,185,3.1,153,172,8:23,6:28,--,--,1.25,0,0,0,0,0,0:00,0:00,73.4,0:00,No,04:58.6,5,0
Treadmill Running,11/4/19 17:11,FALSE,Treadmill Running,1.23,42,0:15:31,91,108,0.1,126,137,12:39,11:33,--,--,1.01,0,0,0,0,0,0:00,0:00,75.2,0:00,No,02:47.5,2,0
Running,11/3/19 7:28,FALSE,Chicago Running,9.38,833,1:35:53,164,188,3.9,165,186,10:14,6:44,141,164,0.97,0,0,0,0,0,0:00,0:00,46.4,0:00,No,05:39.1,10,0
Treadmill Running,10/30/19 17:59,FALSE,Treadmill Running,3.05,218,0:26:03,150,185,2.6,158,172,8:32,7:12,--,--,1.19,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:25.4,4,0
Treadmill Running,10/29/19 18:19,FALSE,Treadmill Running,1.44,120,0:14:09,154,181,2.2,147,170,9:49,7:03,--,--,1.11,0,0,0,0,0,0:00,0:00,78.8,0:00,No,05:26.8,2,0
Treadmill Running,10/27/19 18:09,FALSE,Treadmill Running,1.14,57,0:16:45,100,109,0.2,120,126,14:45,13:34,--,--,0.91,0,0,0,0,0,0:00,0:00,75.2,0:00,No,01:53.6,2,0
Treadmill Running,10/24/19 16:24,FALSE,Treadmill Running,2.72,225,0:24:04,162,187,2.9,157,242,8:51,5:53,--,--,1.16,0,0,0,0,0,0:00,0:00,78.8,0:00,No,06:29.2,3,0
Treadmill Running,10/20/19 10:02,FALSE,Treadmill Running,2.2,163,0:17:57,157,184,2.5,164,224,8:10,6:57,--,--,1.2,0,0,0,0,0,0:00,0:00,78.8,0:00,No,02:04.3,3,0
Treadmill Running,10/16/19 18:12,FALSE,Treadmill Running,0.26,20,04:09.7,113,125,0.1,117,127,16:09,13:11,--,--,0.85,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1,0
Treadmill Running,10/15/19 11:56,FALSE,Treadmill Running,2,145,0:17:57,147,166,2.2,159,182,8:58,7:18,--,--,1.13,0,0,0,0,0,0:00,0:00,78.8,0:00,No,08:36.7,2,0
Running,10/13/19 8:38,FALSE,Chicago Running,26.49,"2,091",3:47:34,176,194,4.9,177,201,8:35,6:11,463,466,1.06,0,0,0,0,0,0:00,0:00,50,0:00,No,04:23.6,27,0
Running,10/12/19 8:36,FALSE,Chicago Running,2.01,137,0:17:01,144,166,2,179,186,8:28,7:09,52,56,1.06,0,0,0,0,0,0:00,0:00,55.4,0:00,No,00:04.3,3,0
Treadmill Running,10/10/19 19:19,FALSE,Treadmill Running,2.24,169,0:17:03,165,177,2.6,166,174,7:37,7:18,--,--,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,01:53.9,3,0
Treadmill Running,10/8/19 18:44,FALSE,Treadmill Running,4.57,352,0:34:00,173,185,3.5,170,180,7:27,7:07,--,--,1.27,0,0,0,0,0,0:00,0:00,78.8,0:00,No,04:11.3,5,0
Running,10/7/19 18:01,FALSE,Chicago Running,3.01,228,0:24:35,158,181,2.7,176,188,8:09,6:40,20,23,1.12,0,0,0,0,0,0:00,0:00,68,0:00,No,00:06.3,4,0
Running,10/5/19 7:18,FALSE,Lake County Running,8.01,568,1:07:17,155,171,2.8,179,186,8:24,7:39,246,226,1.07,0,0,0,0,0,0:00,0:00,59,0:00,No,00:03.1,9,0
Treadmill Running,10/3/19 19:22,FALSE,Treadmill Running,3.14,247,0:25:31,163,171,3,166,174,8:07,7:29,--,--,1.2,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:08.8,4,0
Treadmill Running,10/2/19 19:28,FALSE,Treadmill Running,8.66,679,1:08:19,171,182,4.1,167,174,7:53,7:32,--,--,1.22,0,0,0,0,0,0:00,0:00,78.8,0:00,No,05:13.2,9,0
Treadmill Running,10/1/19 5:43,FALSE,Treadmill Running,5.56,354,0:42:58,151,170,2.7,170,178,7:44,7:22,--,--,1.22,0,0,0,0,0,0:00,0:00,77,0:00,No,04:24.9,6,0
Treadmill Running,9/30/19 15:51,FALSE,Treadmill Running,6.05,433,0:47:36,159,171,3.1,168,174,7:52,7:20,--,--,1.22,0,0,0,0,0,0:00,0:00,77,0:00,No,00:29.8,7,0
Treadmill Running,9/28/19 18:37,FALSE,Treadmill Running,3.23,225,0:25:33,153,165,2.6,169,174,7:54,7:30,--,--,1.2,0,0,0,0,0,0:00,0:00,77,0:00,No,01:52.3,4,0
Running,9/28/19 11:34,FALSE,Chicago Running,1.07,81,09:12.2,153,167,1.9,171,181,8:36,7:27,7,20,1.09,0,0,0,0,0,0:00,0:00,62.6,0:00,No,00:34.0,2,0
Running,9/28/19 10:15,FALSE,Chicago Running,8.07,567,1:08:19,156,172,2.9,176,185,8:28,7:19,72,161,1.08,0,0,0,0,0,0:00,0:00,60.8,0:00,No,00:33.4,9,0
Treadmill Running,9/27/19 15:38,FALSE,Treadmill Running,4.32,278,0:33:01,157,172,3,169,174,7:38,7:22,--,--,1.25,0,0,0,0,0,0:00,0:00,77,0:00,No,02:29.2,5,0
Treadmill Running,9/26/19 19:24,FALSE,Treadmill Running,8.59,620,1:07:30,169,184,4,167,173,7:52,6:29,--,--,1.23,0,0,0,0,0,0:00,0:00,78.8,0:00,No,04:28.5,9,0
Treadmill Running,9/25/19 20:28,FALSE,Treadmill Running,1.65,108,0:12:42,156,172,2.2,169,174,7:42,7:17,--,--,1.24,0,0,0,0,0,0:00,0:00,77,0:00,No,04:58.2,2,0
Treadmill Running,9/23/19 12:01,FALSE,Treadmill Running,5.41,336,0:41:13,154,185,3.1,171,177,7:37,6:51,--,--,1.23,0,0,0,0,0,0:00,0:00,75.2,0:00,No,03:04.1,6,0
Treadmill Running,9/21/19 11:09,FALSE,Treadmill Running,20.02,"1,301",2:38:12,171,189,4.4,168,242,7:54,5:38,--,--,1.21,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:06.8,21,0
Running,9/19/19 7:31,FALSE,Bloomington Running,1.23,96,0:11:01,158,171,2.1,169,178,8:58,7:53,79,7,1.06,0,0,0,0,0,0:00,0:00,71.6,0:00,No,02:09.1,2,0
Treadmill Running,9/17/19 16:37,FALSE,Treadmill Running,10.17,747,1:17:22,177,191,4.5,167,174,7:37,7:08,--,--,1.26,0,0,0,0,0,0:00,0:00,78.8,0:00,No,01:17.8,11,0
Treadmill Running,9/16/19 19:47,FALSE,Treadmill Running,0.13,13,01:46.4,145,164,0.3,121,130,13:44,12:53,--,--,0.97,0,0,0,0,0,0:00,0:00,82.4,0:00,No,00:00.0,1,0
Treadmill Running,9/16/19 19:04,FALSE,Treadmill Running,5.51,368,0:41:45,164,180,3.5,167,174,7:35,7:07,--,--,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,03:45.8,6,0
Running,9/14/19 7:34,FALSE,Chicago Running,14.01,"1,028",1:58:49,173,194,4.5,174,242,8:29,6:24,125,184,1.09,0,0,0,0,0,0:00,0:00,71.6,0:00,No,00:06.4,15,0
